Date,Taobao,Alipay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,250491270,276105523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,250439946,275651537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,258994204,274520876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,283996278,295628208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,262579210,277461884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,250713612,287064437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,255959382,279556924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,250501756,277430110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,249011465,279063165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,250308143,276090633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,260051589,276048828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,286998169,275305279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,252570875,277416010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,248400938,276063425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,271075648,275899492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,270650953,309404824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,280429369,276315959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,284340847,278457753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,249886696,276672654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,254672430,276925431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,297505418,285086468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,251794519,278709072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,247557814,288306965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,253498122,270895980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,245158614,280498847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,249600598,276643130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,252194592,255878031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,246619048,271414215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,255756425,278723142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,250085093,298881222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,270196398,280791171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,827763672,837943879,827201010,840411917,826116251,818039513,824515782,822515823,828088776,840911801,823662253,863190456,832053913,829207390,830748105,849925225,831586083,850002877,844663435,826210752,843615787,823353127,832477658,824046762,827087172,826648487,826012494,851451297,876775692,831536642,860438674
